Count_cells,ExecutionTime_01LoadImages,ExecutionTime_02TrackObjects,ExecutionTime_03SaveImages,Group_Index,Group_Number,ImageNumber,Metadata_Site,Metadata_Time,ModuleError_01LoadImages,ModuleError_02TrackObjects,ModuleError_03SaveImages,ObjectsFileName_IMAGE_FOR_cells,ObjectsPathName_IMAGE_FOR_cells,ObjectsURL_IMAGE_FOR_cells,TrackObjects_LostObjectCount_cells,TrackObjects_MergeCount_cells,TrackObjects_NewObjectCount_cells,TrackObjects_SplitCount_cells
127.0,0.49,29.09,0.17,1,1,1,1,0001,0,0,0,Cells_s1_t0001.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0001.png,0,0,127,0
126.0,0.54,29.3,0.17,2,1,2,1,0002,0,0,0,Cells_s1_t0002.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0002.png,0,1,0,0
129.0,0.37,29.02,0.17,3,1,3,1,0003,0,0,0,Cells_s1_t0003.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0003.png,1,0,0,4
129.0,0.37,29.04,0.16,4,1,4,1,0004,0,0,0,Cells_s1_t0004.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0004.png,-1,2,0,1
127.0,0.36,29.04,0.16,5,1,5,1,0005,0,0,0,Cells_s1_t0005.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0005.png,0,2,0,1
127.0,0.36,28.95,0.17,6,1,6,1,0006,0,0,0,Cells_s1_t0006.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0006.png,0,1,0,1
130.0,0.36,28.95,0.16,7,1,7,1,0007,0,0,0,Cells_s1_t0007.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0007.png,0,0,0,2
126.0,0.5,29.08,0.16,8,1,8,1,0008,0,0,0,Cells_s1_t0008.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0008.png,3,2,0,1
128.0,0.37,29.17,0.16,9,1,9,1,0009,0,0,0,Cells_s1_t0009.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0009.png,-3,3,0,2
128.0,0.35,29.06,0.17,10,1,10,1,0010,0,0,0,Cells_s1_t0010.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0010.png,2,0,0,2
124.0,0.52,29.81,0.17,11,1,11,1,0011,0,0,0,Cells_s1_t0011.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0011.png,0,4,0,1
127.0,0.37,29.51,0.17,12,1,12,1,0012,0,0,0,Cells_s1_t0012.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0012.png,1,1,0,4
125.0,0.54,29.56,0.17,13,1,13,1,0013,0,0,0,Cells_s1_t0013.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0013.png,0,3,0,3
125.0,0.56,29.46,0.17,14,1,14,1,0014,0,0,0,Cells_s1_t0014.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0014.png,0,2,0,0
127.0,0.39,29.63,0.17,15,1,15,1,0015,0,0,0,Cells_s1_t0015.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0015.png,1,1,0,4
